Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,1529.1500244140625,1554.300048828125,1498.050048828125,1508.800048828125,1411.7581787109375,279059
2019-11-21,1518.0,1525.0,1490.0,1498.699951171875,1402.3077392578125,82586
2019-11-22,1505.0,1509.9000244140625,1473.5,1484.1500244140625,1388.6934814453125,137374
2019-11-25,1486.699951171875,1507.1500244140625,1475.800048828125,1500.050048828125,1403.5709228515625,103697
2019-11-26,1504.4000244140625,1504.4000244140625,1452.4000244140625,1484.9000244140625,1389.395263671875,380327
2019-11-27,1484.0,1506.9000244140625,1480.9000244140625,1493.9000244140625,1397.8165283203125,77325
2019-11-28,1490.0,1512.4000244140625,1484.550048828125,1504.9000244140625,1408.109130859375,166495
2019-11-29,1504.9000244140625,1516.5,1482.050048828125,1490.949951171875,1395.0560302734375,66093
2019-12-02,1480.949951171875,1495.0,1454.300048828125,1462.0999755859375,1368.0616455078125,124662
2019-12-03,1455.0999755859375,1470.449951171875,1440.800048828125,1446.4000244140625,1353.3717041015625,109134
2019-12-04,1443.8499755859375,1472.449951171875,1439.0,1467.449951171875,1373.0679931640625,144873
2019-12-05,1464.0,1515.6500244140625,1463.0,1485.199951171875,1389.676025390625,367759
2019-12-06,1488.0,1494.949951171875,1459.0,1464.1500244140625,1369.980224609375,76842
2019-12-09,1464.699951171875,1482.0,1451.0,1475.949951171875,1381.0211181640625,106498
2019-12-10,1471.3499755859375,1475.3499755859375,1418.6500244140625,1437.75,1345.278076171875,245334
2019-12-11,1437.9000244140625,1497.0,1437.9000244140625,1486.550048828125,1390.939453125,381538
2019-12-12,1480.0,1492.8499755859375,1470.050048828125,1484.25,1388.787353515625,93421
2019-12-13,1478.0,1495.0,1462.699951171875,1490.5999755859375,1394.7288818359375,167754
2019-12-16,1488.0,1512.3499755859375,1464.6500244140625,1473.4000244140625,1378.63525390625,261216
2019-12-17,1503.0,1643.300048828125,1492.050048828125,1604.949951171875,1501.7242431640625,4180592
2019-12-18,1604.449951171875,1628.9000244140625,1580.0,1602.5999755859375,1499.525146484375,2154599
2019-12-19,1587.0,1606.199951171875,1575.199951171875,1580.3499755859375,1478.706298828125,534903
2019-12-20,1583.0,1602.0,1567.6500244140625,1582.800048828125,1480.9989013671875,548840
2019-12-23,1580.0,1604.949951171875,1572.4000244140625,1578.550048828125,1477.0218505859375,440209
2019-12-24,1564.0,1626.4000244140625,1556.5999755859375,1597.8499755859375,1495.0806884765625,2916222
2019-12-26,1615.0,1619.949951171875,1601.0,1609.199951171875,1505.7010498046875,893767
2019-12-27,1612.0,1619.949951171875,1579.4000244140625,1583.050048828125,1481.2327880859375,467070
2019-12-30,1581.0,1601.0,1581.0,1586.4000244140625,1484.3670654296875,300609
2019-12-31,1584.0,1601.449951171875,1578.550048828125,1589.8499755859375,1487.5953369140625,247638
2020-01-01,1589.8499755859375,1597.9000244140625,1573.199951171875,1578.199951171875,1476.6944580078125,154125
2020-01-02,1581.75,1588.4000244140625,1573.050048828125,1579.5,1477.910888671875,163571
2020-01-03,1582.0,1640.0,1582.0,1630.949951171875,1526.0517578125,1181414
2020-01-06,1626.949951171875,1661.0,1621.1500244140625,1647.75,1541.77099609375,983061
2020-01-07,1659.0,1666.0,1645.550048828125,1655.75,1549.2569580078125,486953
2020-01-08,1652.949951171875,1777.0,1645.0,1726.550048828125,1615.503173828125,1233375
2020-01-09,1740.0,1778.0,1726.9000244140625,1753.6500244140625,1640.8603515625,826968
2020-01-10,1747.8499755859375,1764.9000244140625,1711.050048828125,1725.5,1614.5206298828125,450735
2020-01-13,1724.9000244140625,1789.949951171875,1712.0999755859375,1774.75,1660.60302734375,536820
2020-01-14,1774.5,1818.0,1765.4000244140625,1807.0,1690.778564453125,687344
2020-01-15,1805.0,1819.9000244140625,1775.0,1804.550048828125,1688.4864501953125,438185
2020-01-16,1804.0,1804.449951171875,1765.800048828125,1782.949951171875,1668.275634765625,323490
2020-01-17,1782.0,1818.9000244140625,1777.800048828125,1799.0999755859375,1683.386962890625,263017
2020-01-20,1803.0,1805.0,1773.949951171875,1781.199951171875,1666.6383056640625,134513
2020-01-21,1787.4000244140625,1818.0,1775.1500244140625,1801.6500244140625,1685.7730712890625,374093
2020-01-22,1803.300048828125,1896.0,1801.75,1872.6500244140625,1752.206298828125,1210892
2020-01-23,1872.0,2059.5,1857.4000244140625,1979.050048828125,1851.76318359375,1207141
2020-01-24,1976.0999755859375,1979.050048828125,1900.1500244140625,1932.050048828125,1807.785888671875,1196651
2020-01-27,1929.0,1957.0,1912.0,1948.8499755859375,1823.50537109375,428335
2020-01-28,1951.0,2034.0,1950.0,2009.0999755859375,1879.88037109375,1231656
2020-01-29,2009.0999755859375,2042.550048828125,1921.0,1941.050048828125,1816.2071533203125,1845201
2020-01-30,1935.0,1935.0,1832.050048828125,1849.0,1730.0772705078125,1514678
2020-01-31,1865.0,1964.5999755859375,1854.050048828125,1942.449951171875,1817.516845703125,1129204
2020-02-03,1879.9000244140625,1917.9000244140625,1868.75,1885.4000244140625,1764.136474609375,341567
2020-02-04,1899.9000244140625,1950.0,1897.5999755859375,1922.5999755859375,1798.943603515625,458477
2020-02-05,1929.949951171875,1970.699951171875,1921.3499755859375,1935.449951171875,1810.96728515625,366975
2020-02-06,1953.0,1956.949951171875,1880.449951171875,1899.5,1777.329345703125,244162
2020-02-07,1910.800048828125,1938.0,1876.199951171875,1885.75,1773.802001953125,364726
2020-02-10,1890.0,1896.0,1833.050048828125,1857.949951171875,1747.6524658203125,268670
2020-02-11,1861.8499755859375,1881.9000244140625,1823.300048828125,1830.4000244140625,1721.7379150390625,233960
2020-02-12,1836.0,1857.199951171875,1781.199951171875,1833.6500244140625,1724.7952880859375,490258
2020-02-13,1832.0,1837.5,1800.0,1820.199951171875,1712.143310546875,620623
2020-02-14,1825.0,1869.300048828125,1825.0,1835.6500244140625,1726.676513671875,453478
2020-02-17,1846.449951171875,1855.9000244140625,1792.8499755859375,1824.199951171875,1715.9061279296875,208806
2020-02-18,1827.9000244140625,1853.699951171875,1806.0,1848.550048828125,1738.8106689453125,278478
2020-02-19,1850.550048828125,1908.9000244140625,1844.550048828125,1882.5999755859375,1770.8392333984375,666656
2020-02-20,1885.050048828125,1913.8499755859375,1845.050048828125,1854.4000244140625,1744.3131103515625,511083
2020-02-24,1854.449951171875,1869.3499755859375,1829.1500244140625,1838.800048828125,1729.639404296875,266476
2020-02-25,1848.4000244140625,1904.699951171875,1841.4000244140625,1889.4000244140625,1777.2352294921875,710576
2020-02-26,1895.0,1910.0,1853.0,1889.8499755859375,1777.6585693359375,550885
2020-02-27,1875.8499755859375,1908.949951171875,1860.5999755859375,1885.800048828125,1773.84912109375,369349
2020-02-28,1820.0,1874.0,1667.550048828125,1689.75,1589.4376220703125,791185
